Timestamp,"I declare that I have read, understood, and wish to participate in the survey conducted by the ISCB Regional Student Group - Brazil.",Race/Color?,Which of the following terms do you think best describes your gender?,In which state of Brazil do you currently work/study/live?,What is your academic level?,"According to your experience, which of the options best describes you?","Among these options, which one best describes your professional profile?","Among these options, which one best describes your professional profile?","If others, which one?","Among these options, which one best describes your professional profile?","Taking into account your needs, which aspects of Bioinformatics would you most like to see in a course? [Biology knowledge]","Considering your needs, which aspects of Bioinformatics would you most like to see in a course? [Statistical methods and Data Science]","Considering your needs, which aspects of Bioinformatics would you most like to see in a course? [Computational and programming skills]","Considering your needs, which aspects of Bioinformatics would you most like to see in a course? [Ethical implications and societal repercussions of Bioinformatics]","Considering your needs, which aspects of Bioinformatics would you most like to see in a course? [Applications of Bioinformatics]","Considering your needs, which aspects of Bioinformatics would you most like to see in a course? [Communication in Bioinformatics]","Considering your needs, which aspects of Bioinformatics would you most like to see in a course? [Continuing Development in Bioinformatics]","Among the topics below, which one(s) would you like to deepen your knowledge and develop skills in Bioinformatics?","Considering your experience in the field, at what level of learning would you like to receive courses and training offered in Computational Biology?"
06/11/2023 13:12:26,Yes,I am white,Man / Male (Cisgender),Pará (PA),Bachelor / Undergraduate Student,User,Academic,,,,6,5,5,7,5,4,6,"DNA and Genomics, Proteins and Proteomics, Molecular Basis of Cancer, Personalized Medicine,  Structural Biology and Modeling",Advanced
06/11/2023 13:16:52,Yes,I am white,Man / Male (Cisgender),Pará (PA),Master / Master Student,Developer,,,,Bioinformatics software developer/engineer,7,7,7,3,5,5,7,"DNA and Genomics, Phylogeny and Evolution, Metagenomics and Microbiome, RNA and Transcriptomics, Epigenomics, Proteins and Proteomics, Metabolomics and Systems Biology,  Artificial Intelligence and Data Science in Bioinformatics, Database and Software Development, Molecular Basis of Cancer, Personalized Medicine","Intermediate, Advanced"
06/11/2023 13:17:39,Yes,I am white,Man / Male (Cisgender),Amazônas (AM),Posdoc,Scientist,,Academic in the field of computational biology and related areas,,,6,3,4,7,7,6,5,"DNA and Genomics, Phylogeny and Evolution,  Artificial Intelligence and Data Science in Bioinformatics, Database and Software Development, Didactics and Communication in Bioinformatics,Career Mentoring in Bioinformatics","Intermediate, Advanced"
06/11/2023 13:19:37,Yes,I am brown-skinned,Man / Male (Cisgender),Minas Gerais (MG),PhD / PhD Student,Scientist,,Academic in the field of computational biology and related areas,,,7,7,7,5,5,5,6,"Metagenomics and Microbiome, Epigenomics,Career Mentoring in Bioinformatics","Intermediate, Advanced"
06/11/2023 13:24:11,Yes,I am white,Woman / Female (Cisgender),Pará (PA),Bachelor / Undergraduate Student,Scientist,,Core facility scientist,,,7,7,4,3,3,3,6,"DNA and Genomics, Phylogeny and Evolution, Metagenomics and Microbiome, RNA and Transcriptomics, Proteins and Proteomics,  Artificial Intelligence and Data Science in Bioinformatics, Database and Software Development","Basic, Intermediate"
06/11/2023 13:27:44,Yes,I am brown-skinned,Man / Male (Cisgender),Pará (PA),Posdoc,User,Academic,,,,4,7,7,7,7,7,7,"DNA and Genomics, Phylogeny and Evolution, Metagenomics and Microbiome, RNA and Transcriptomics, Epigenomics, Proteins and Proteomics, Personalized Medicine,  Structural Biology and Modeling","Basic, Intermediate"
06/11/2023 13:28:15,Yes,I am white,Woman / Female (Cisgender),Espírito Santo (ES),Master / Master Student,User,Academic,,,,2,6,6,4,6,3,7,"DNA and Genomics, Phylogeny and Evolution, Metagenomics and Microbiome, Epigenomics,  Artificial Intelligence and Data Science in Bioinformatics,  Structural Biology and Modeling,Career Mentoring in Bioinformatics","Intermediate, Advanced"
06/11/2023 13:30:19,Yes,I am white,Man / Male (Cisgender),Paraná (PR),PhD / PhD Student,Scientist,,Core facility scientist,,,2,4,7,4,6,1,7,"DNA and Genomics, Metagenomics and Microbiome, RNA and Transcriptomics,  Artificial Intelligence and Data Science in Bioinformatics, Database and Software Development, Personalized Medicine,Career Mentoring in Bioinformatics","Intermediate, Advanced"
06/11/2023 13:32:04,Yes,I am brown-skinned,Man / Male (Cisgender),Bahia (BA),PhD / PhD Student,Scientist,,Academic in the field of computational biology and related areas,,,3,4,4,3,2,3,4,"DNA and Genomics, RNA and Transcriptomics,  Artificial Intelligence and Data Science in Bioinformatics, Molecular Basis of Cancer, Personalized Medicine,Career Mentoring in Bioinformatics",Intermediate
06/11/2023 13:33:38,Yes,I am white,Woman / Female (Cisgender),Rio Grande do Norte (RN),Bachelor / Undergraduate Student,User,Academic,,,,3,1,1,1,1,1,1,"DNA and Genomics, Phylogeny and Evolution, Metagenomics and Microbiome, RNA and Transcriptomics, Metabolomics and Systems Biology, Database and Software Development,  Structural Biology and Modeling",Basic
06/11/2023 13:36:38,Yes,I am white,Woman / Female (Cisgender),Minas Gerais (MG),Posdoc,User,Academic,,,,7,5,5,5,6,6,6,"DNA and Genomics, RNA and Transcriptomics, Proteins and Proteomics,  Artificial Intelligence and Data Science in Bioinformatics, Didactics and Communication in Bioinformatics,  Structural Biology and Modeling",Intermediate
06/11/2023 13:36:47,Yes,I am white,Woman / Female (Cisgender),Rio de Janeiro (RJ),Master / Master Student,Scientist,,Academic in the field of computational biology and related areas,,,1,7,5,5,6,5,5,"Metagenomics and Microbiome,  Artificial Intelligence and Data Science in Bioinformatics",Advanced
06/11/2023 13:44:36,Yes,I am brown-skinned,Man / Male (Cisgender),Paraná (PR),PhD / PhD Student,User,Academic,,,,7,6,6,2,2,2,6,"DNA and Genomics, Proteins and Proteomics, Metabolomics and Systems Biology,  Structural Biology and Modeling",Basic
06/11/2023 13:48:52,Yes,I prefer not to answer,Man / Male (Cisgender),Resido fora do Brasil,PhD / PhD Student,Scientist,,Academic in the field of computational biology and related areas,,,4,7,6,5,5,6,7,"Metagenomics and Microbiome, Epigenomics, Metabolomics and Systems Biology,  Artificial Intelligence and Data Science in Bioinformatics,Career Mentoring in Bioinformatics","Intermediate, Advanced"
06/11/2023 14:03:40,Yes,I am brown-skinned,Woman / Female (Cisgender),Rio de Janeiro (RJ),Posdoc,Scientist,,Educator in computational biology and related fields.,,,7,5,4,6,6,6,5,"DNA and Genomics, Phylogeny and Evolution, Metagenomics and Microbiome, RNA and Transcriptomics, Epigenomics, Proteins and Proteomics, Metabolomics and Systems Biology, Database and Software Development, Molecular Basis of Cancer,Career Mentoring in Bioinformatics",Advanced
06/11/2023 14:04:59,Yes,I am brown-skinned,Woman / Female (Cisgender),Sergipe (SE),Professor / PI,Scientist,,Academic in the field of computational biology and related areas,,,5,7,7,7,7,7,7,"Database and Software Development, Molecular Basis of Cancer, Didactics and Communication in Bioinformatics,Career Mentoring in Bioinformatics","Basic, Intermediate"
06/11/2023 14:05:11,Yes,I am black,Woman / Female (Cisgender),São Paulo (SP),Bachelor / Undergraduate Student,User,Academic,,,,7,7,6,6,5,5,7,"DNA and Genomics, Phylogeny and Evolution, Metagenomics and Microbiome, RNA and Transcriptomics, Epigenomics, Proteins and Proteomics, Metabolomics and Systems Biology,  Artificial Intelligence and Data Science in Bioinformatics, Database and Software Development, Molecular Basis of Cancer, Personalized Medicine,  Structural Biology and Modeling","Basic, Intermediate, Advanced"
06/11/2023 14:07:08,Yes,I am brown-skinned,I prefer not to answer,São Paulo (SP),Bachelor / Undergraduate Student,Developer,,,,Bioinformatics software developer/engineer,5,5,5,6,7,5,5,"DNA and Genomics, Metagenomics and Microbiome,  Artificial Intelligence and Data Science in Bioinformatics, Database and Software Development",Intermediate
06/11/2023 14:07:51,Yes,I am white,Woman / Female (Cisgender),Paraná (PR),Posdoc,User,Academic,,,,5,2,2,5,5,3,3,"DNA and Genomics, Phylogeny and Evolution, Metagenomics and Microbiome,Career Mentoring in Bioinformatics",Basic
06/11/2023 14:11:05,Yes,I am brown-skinned,Woman / Female (Cisgender),Resido fora do Brasil,PhD / PhD Student,Scientist,,Academic in the field of computational biology and related areas,,,6,2,1,3,3,3,3,"DNA and Genomics, Proteins and Proteomics,  Artificial Intelligence and Data Science in Bioinformatics, Didactics and Communication in Bioinformatics,Career Mentoring in Bioinformatics","Basic, Intermediate, Advanced"
06/11/2023 14:13:31,Yes,I am white,Man / Male (Cisgender),Rio Grande do Norte (RN),PhD / PhD Student,Developer,,,,Bioinformatics software developer/engineer,5,3,7,1,6,6,7,"DNA and Genomics, Phylogeny and Evolution, RNA and Transcriptomics, Epigenomics, Proteins and Proteomics,  Artificial Intelligence and Data Science in Bioinformatics",Advanced
06/11/2023 14:13:43,Yes,I am brown-skinned,Woman / Female (Cisgender),São Paulo (SP),Master / Master Student,User,Academic,,,,5,7,7,1,3,3,6,"DNA and Genomics, RNA and Transcriptomics, Proteins and Proteomics, Personalized Medicine,  Structural Biology and Modeling","Basic, Intermediate"
06/11/2023 14:17:43,Yes,I am white,Woman / Female (Cisgender),São Paulo (SP),Bachelor / Undergraduate Student,Scientist,,Academic in the field of computational biology and related areas,,,2,7,7,5,5,6,6,"DNA and Genomics, Phylogeny and Evolution, RNA and Transcriptomics,  Artificial Intelligence and Data Science in Bioinformatics, Database and Software Development, Personalized Medicine, Didactics and Communication in Bioinformatics,  Structural Biology and Modeling,Career Mentoring in Bioinformatics",Intermediate
06/11/2023 14:18:10,Yes,I am brown-skinned,Man / Male (Cisgender),São Paulo (SP),Bachelor / Undergraduate Student,Developer,,,,Bioinformatics software developer/engineer,4,6,7,4,5,5,7,"DNA and Genomics, Metagenomics and Microbiome,  Artificial Intelligence and Data Science in Bioinformatics",Advanced
06/11/2023 14:19:22,Yes,I am white,Woman / Female (Cisgender),Minas Gerais (MG),Posdoc,User,Academic,,,,1,7,5,1,1,1,1,"Phylogeny and Evolution, Epigenomics, Proteins and Proteomics,  Structural Biology and Modeling",Advanced
06/11/2023 14:22:22,Yes,I am brown-skinned,Man / Male (Cisgender),São Paulo (SP),Master / Master Student,User,Academic,,,,7,7,7,6,1,1,1,"DNA and Genomics, RNA and Transcriptomics, Epigenomics, Proteins and Proteomics",Intermediate
06/11/2023 14:24:37,Yes,I am white,Man / Male (Cisgender),São Paulo (SP),Bachelor / Undergraduate Student,User,Academic,,,,7,5,7,6,7,6,7,"DNA and Genomics, Proteins and Proteomics, Molecular Basis of Cancer",Basic
06/11/2023 14:26:25,Yes,I am yellow,Man / Male (Cisgender),São Paulo (SP),Professor / PI,Developer,,,,Bioinformatics software developer/engineer,7,7,7,6,7,7,7," Artificial Intelligence and Data Science in Bioinformatics, Personalized Medicine,Career Mentoring in Bioinformatics",Advanced
06/11/2023 14:30:45,Yes,I am brown-skinned,Man / Male (Cisgender),Minas Gerais (MG),Posdoc,Scientist,,Academic in the field of computational biology and related areas,,,1,1,5,1,5,1,6,"Epigenomics, Metabolomics and Systems Biology,  Artificial Intelligence and Data Science in Bioinformatics, Database and Software Development, Personalized Medicine,Career Mentoring in Bioinformatics",Advanced
06/11/2023 14:32:03,Yes,I prefer not to answer,Woman / Female (Cisgender),Bahia (BA),Bachelor / Undergraduate Student,User,Academic,,,,1,6,6,5,6,5,6,"DNA and Genomics, Phylogeny and Evolution, RNA and Transcriptomics, Proteins and Proteomics, Database and Software Development,  Structural Biology and Modeling","Basic, Intermediate"
06/11/2023 14:33:00,Yes,I am white,Man / Male (Cisgender),Minas Gerais (MG),PhD / PhD Student,User,Clinical Analysis,,,,5,7,5,4,7,7,7,"DNA and Genomics, RNA and Transcriptomics, Molecular Basis of Cancer,  Structural Biology and Modeling","Basic, Intermediate, Advanced"
06/11/2023 14:34:59,Yes,I am brown-skinned,Woman / Female (Cisgender),Paraná (PR),Posdoc,Developer,,,,Bioinformatics software developer/engineer,1,3,1,1,1,1,2,"Metagenomics and Microbiome, Epigenomics,  Artificial Intelligence and Data Science in Bioinformatics",Advanced
06/11/2023 14:37:24,Yes,I am white,Man / Male (Cisgender),Minas Gerais (MG),Posdoc,Scientist,,Academic in the field of computational biology and related areas,,,5,7,7,3,6,3,7,"DNA and Genomics, Phylogeny and Evolution, Metagenomics and Microbiome, RNA and Transcriptomics,  Artificial Intelligence and Data Science in Bioinformatics, Database and Software Development",Advanced
06/11/2023 14:41:55,Yes,I am white,Man / Male (Cisgender),Goiás (GO),PhD / PhD Student,User,Academic,,,,7,7,4,1,7,4,7,"Proteins and Proteomics, Metabolomics and Systems Biology,  Artificial Intelligence and Data Science in Bioinformatics, Database and Software Development,  Structural Biology and Modeling",Intermediate
06/11/2023 14:43:48,Yes,I am white,Man / Male (Cisgender),São Paulo (SP),Bachelor / Undergraduate Student,User,Academic,,,,3,7,7,5,6,7,7,"DNA and Genomics, RNA and Transcriptomics,  Artificial Intelligence and Data Science in Bioinformatics, Database and Software Development, Didactics and Communication in Bioinformatics,  Structural Biology and Modeling,Career Mentoring in Bioinformatics",Intermediate
06/11/2023 14:44:33,Yes,I am white,Woman / Female (Cisgender),Minas Gerais (MG),PhD / PhD Student,User,Academic,,,,3,6,6,6,6,6,6,"DNA and Genomics, Phylogeny and Evolution, Epigenomics",Basic
06/11/2023 14:44:43,Yes,I am white,Man / Male (Cisgender),Paraná (PR),Bachelor / Undergraduate Student,User,Academic,,,,1,6,6,4,4,4,5,"DNA and Genomics, Metagenomics and Microbiome, RNA and Transcriptomics,  Artificial Intelligence and Data Science in Bioinformatics, Molecular Basis of Cancer,Career Mentoring in Bioinformatics","Intermediate, Advanced"
06/11/2023 14:45:02,Yes,I am white,Woman / Female (Cisgender),São Paulo (SP),PhD / PhD Student,User,Academic,,,,2,4,4,4,6,6,7,"DNA and Genomics, RNA and Transcriptomics, Database and Software Development, Molecular Basis of Cancer,  Structural Biology and Modeling",Intermediate
06/11/2023 14:52:32,Yes,I am white,Woman / Female (Cisgender),Paraná (PR),PhD / PhD Student,User,Academic,,,,5,5,4,3,5,3,3,"Metagenomics and Microbiome, Database and Software Development, Didactics and Communication in Bioinformatics",Intermediate
06/11/2023 14:54:40,Yes,I am white,Woman / Female (Cisgender),Paraná (PR),Professor / PI,Scientist,,Academic in the field of computational biology and related areas,,,1,6,2,5,6,7,7,"RNA and Transcriptomics, Epigenomics, Proteins and Proteomics,  Artificial Intelligence and Data Science in Bioinformatics, Database and Software Development, Personalized Medicine",Advanced
06/11/2023 14:55:27,Yes,I am brown-skinned,Woman / Female (Cisgender),São Paulo (SP),Posdoc,Scientist,,Academic in the field of computational biology and related areas,,,7,5,5,6,6,6,7,"Metagenomics and Microbiome, Epigenomics, Proteins and Proteomics, Database and Software Development, Didactics and Communication in Bioinformatics,Career Mentoring in Bioinformatics",Advanced
06/11/2023 15:05:41,Yes,I prefer not to answer,I prefer not to answer,Rio Grande do Sul (RS),Master / Master Student,Scientist,,Academic in the field of computational biology and related areas,,,1,7,3,2,7,2,7,"RNA and Transcriptomics,  Artificial Intelligence and Data Science in Bioinformatics, Database and Software Development, Personalized Medicine,Career Mentoring in Bioinformatics","Intermediate, Advanced"
06/11/2023 15:06:45,Yes,I am brown-skinned,Woman / Female (Cisgender),Resido fora do Brasil,PhD / PhD Student,Scientist,,Academic in the field of computational biology and related areas,,,5,6,6,5,5,5,6,"Proteins and Proteomics,  Artificial Intelligence and Data Science in Bioinformatics, Database and Software Development, Molecular Basis of Cancer, Personalized Medicine,  Structural Biology and Modeling","Intermediate, Advanced"
06/11/2023 15:07:08,Yes,I am white,Woman / Female (Cisgender),Resido fora do Brasil,Master / Master Student,Developer,,,,Bioinformatics software developer/engineer,3,3,3,2,3,2,2," Artificial Intelligence and Data Science in Bioinformatics, Database and Software Development, Personalized Medicine, Didactics and Communication in Bioinformatics,Career Mentoring in Bioinformatics","Intermediate, Advanced"
06/11/2023 15:08:36,Yes,I prefer not to answer,I prefer not to answer,São Paulo (SP),Professor / PI,Developer,,,,Bioinformatics software developer/engineer,5,6,2,4,6,2,2,"DNA and Genomics, Metagenomics and Microbiome, RNA and Transcriptomics, Epigenomics,Career Mentoring in Bioinformatics",Advanced
06/11/2023 15:09:04,Yes,I am white,Woman / Female (Cisgender),Resido fora do Brasil,Posdoc,Scientist,,Educator in computational biology and related fields.,,,1,3,1,1,3,3,3,"Epigenomics,  Artificial Intelligence and Data Science in Bioinformatics",Advanced
06/11/2023 15:12:39,Yes,I am black,Man / Male (Cisgender),Resido fora do Brasil,Master / Master Student,User,Professor,,,,5,5,5,5,5,5,5,"Metabolomics and Systems Biology,  Artificial Intelligence and Data Science in Bioinformatics, Database and Software Development, Personalized Medicine, Didactics and Communication in Bioinformatics",Basic
06/11/2023 15:16:23,Yes,I am white,Man / Male (Cisgender),Rio Grande do Norte (RN),Master / Master Student,Developer,,,,Bioinformatics software developer/engineer,2,7,5,2,2,2,7,"Metagenomics and Microbiome, RNA and Transcriptomics,  Artificial Intelligence and Data Science in Bioinformatics",Advanced
06/11/2023 15:17:17,Yes,I am black,Man / Male (Cisgender),Minas Gerais (MG),PhD / PhD Student,Scientist,,Academic in the field of computational biology and related areas,,,7,7,7,7,7,7,7,"DNA and Genomics, RNA and Transcriptomics, Epigenomics, Metabolomics and Systems Biology,  Artificial Intelligence and Data Science in Bioinformatics, Database and Software Development, Molecular Basis of Cancer,  Structural Biology and Modeling,Career Mentoring in Bioinformatics","Basic, Intermediate, Advanced"
06/11/2023 15:19:53,Yes,I am white,Man / Male (Cisgender),Rio de Janeiro (RJ),Posdoc,User,Clinical Analysis,,,,6,3,4,3,6,4,5,"DNA and Genomics, Phylogeny and Evolution, Metagenomics and Microbiome, Molecular Basis of Cancer, Personalized Medicine","Basic, Intermediate"
06/11/2023 15:20:52,Yes,I am black,Man / Male (Cisgender),Maranhão (MA),Master / Master Student,User,Professor,,,,3,7,7,5,5,5,5,"DNA and Genomics, Phylogeny and Evolution, Epigenomics,  Artificial Intelligence and Data Science in Bioinformatics, Didactics and Communication in Bioinformatics",Basic
06/11/2023 15:23:25,No,,,,,,,,,,,,,,,,,,
06/11/2023 15:24:16,Yes,I am white,Man / Male (Cisgender),Rio de Janeiro (RJ),Professor / PI,User,Academic,,,,3,4,5,2,4,5,5,"Phylogeny and Evolution, Proteins and Proteomics,  Artificial Intelligence and Data Science in Bioinformatics, Molecular Basis of Cancer, Personalized Medicine,  Structural Biology and Modeling",Advanced
06/11/2023 15:30:29,Yes,I am brown-skinned,Woman / Female (Cisgender),Minas Gerais (MG),Posdoc,User,Academic,,,,5,7,7,7,7,7,7,"DNA and Genomics, Metagenomics and Microbiome, RNA and Transcriptomics, Proteins and Proteomics,  Artificial Intelligence and Data Science in Bioinformatics, Database and Software Development, Personalized Medicine, Didactics and Communication in Bioinformatics,  Structural Biology and Modeling,Career Mentoring in Bioinformatics","Basic, Intermediate, Advanced"
06/11/2023 15:42:40,Yes,I prefer not to answer,I prefer not to answer,Rio de Janeiro (RJ),Posdoc,Scientist,,Academic in the field of computational biology and related areas,,,3,6,6,3,5,4,4,"DNA and Genomics, Phylogeny and Evolution, Metagenomics and Microbiome, RNA and Transcriptomics, Metabolomics and Systems Biology, Database and Software Development","Intermediate, Advanced"
06/11/2023 15:42:50,Yes,I am white,Woman / Female (Cisgender),Ceará (CE),Master / Master Student,User,Professor,,,,7,7,7,6,7,7,7,"DNA and Genomics, Phylogeny and Evolution, Metagenomics and Microbiome, Epigenomics, Proteins and Proteomics, Metabolomics and Systems Biology,  Artificial Intelligence and Data Science in Bioinformatics, Database and Software Development",Basic
06/11/2023 15:44:24,Yes,I am white,Man / Male (Cisgender),Paraná (PR),PhD / PhD Student,Scientist,,Academic in the field of computational biology and related areas,,,4,7,6,6,6,6,6,"Metagenomics and Microbiome, RNA and Transcriptomics, Epigenomics, Proteins and Proteomics, Metabolomics and Systems Biology,  Artificial Intelligence and Data Science in Bioinformatics, Database and Software Development, Molecular Basis of Cancer, Personalized Medicine,Career Mentoring in Bioinformatics",Intermediate
06/11/2023 15:55:18,Yes,I am white,Woman / Female (Cisgender),São Paulo (SP),Bachelor / Undergraduate Student,User,Clinical Analysis,,,,7,6,4,5,7,7,7,"DNA and Genomics, Metagenomics and Microbiome, RNA and Transcriptomics, Epigenomics, Molecular Basis of Cancer","Basic, Intermediate, Advanced"
06/11/2023 15:59:57,Yes,I am brown-skinned,Man / Male (Cisgender),Santa Catarina (SC),Bachelor / Undergraduate Student,User,Academic,,,,4,7,6,1,6,1,3,"RNA and Transcriptomics, Epigenomics, Proteins and Proteomics,  Artificial Intelligence and Data Science in Bioinformatics, Molecular Basis of Cancer, Personalized Medicine,  Structural Biology and Modeling",Intermediate
06/11/2023 16:06:03,Yes,I am white,Man / Male (Cisgender),São Paulo (SP),Bachelor / Undergraduate Student,User,Academic,,,,7,7,7,5,6,6,7,"DNA and Genomics, Metagenomics and Microbiome, RNA and Transcriptomics, Epigenomics, Proteins and Proteomics, Metabolomics and Systems Biology,  Artificial Intelligence and Data Science in Bioinformatics, Molecular Basis of Cancer, Personalized Medicine,  Structural Biology and Modeling,Career Mentoring in Bioinformatics","Basic, Intermediate, Advanced"
06/11/2023 16:11:08,Yes,I am white,Woman / Female (Cisgender),Minas Gerais (MG),PhD / PhD Student,User,Academic,,,,7,7,7,7,7,7,7,"DNA and Genomics, RNA and Transcriptomics, Epigenomics, Molecular Basis of Cancer, Personalized Medicine",Basic
06/11/2023 16:12:14,Yes,I am brown-skinned,Man / Male (Cisgender),São Paulo (SP),Master / Master Student,User,Academic,,,,5,4,4,3,6,5,4,"Proteins and Proteomics,  Structural Biology and Modeling","Basic, Intermediate"
06/11/2023 16:14:07,Yes,I am brown-skinned,Man / Male (Cisgender),Ceará (CE),PhD / PhD Student,Scientist,,Core facility scientist,,,7,7,7,2,2,2,2,"DNA and Genomics, RNA and Transcriptomics, Epigenomics, Proteins and Proteomics,  Artificial Intelligence and Data Science in Bioinformatics, Database and Software Development,  Structural Biology and Modeling",Intermediate
06/11/2023 16:15:02,Yes,I am white,Man / Male (Cisgender),Minas Gerais (MG),Master / Master Student,User,Professor,,,,7,7,2,2,4,4,4,"DNA and Genomics, Epigenomics, Proteins and Proteomics, Molecular Basis of Cancer, Personalized Medicine",Basic
06/11/2023 16:18:47,Yes,I am white,Man / Male (Cisgender),Pernambuco (PE),Bachelor / Undergraduate Student,User,Academic,,,,6,7,7,5,6,4,5,"DNA and Genomics, Phylogeny and Evolution, RNA and Transcriptomics,  Artificial Intelligence and Data Science in Bioinformatics, Database and Software Development","Intermediate, Advanced"
06/11/2023 16:23:33,Yes,I am white,Woman / Female (Cisgender),Pará (PA),Master / Master Student,User,Academic,,,,2,1,1,2,7,4,7,"DNA and Genomics, Phylogeny and Evolution, Metagenomics and Microbiome, RNA and Transcriptomics, Proteins and Proteomics","Basic, Intermediate"
06/11/2023 16:26:51,Yes,I am brown-skinned,Man / Male (Transgender),Santa Catarina (SC),Bachelor / Undergraduate Student,User,Academic,,,,3,7,7,4,7,7,7,"DNA and Genomics, RNA and Transcriptomics,  Artificial Intelligence and Data Science in Bioinformatics,Career Mentoring in Bioinformatics",Intermediate
06/11/2023 16:27:00,Yes,I am black,Woman / Female (Cisgender),Bahia (BA),Bachelor / Undergraduate Student,Scientist,,Academic in the field of computational biology and related areas,,,3,3,3,3,3,3,3,"DNA and Genomics, RNA and Transcriptomics, Epigenomics,  Artificial Intelligence and Data Science in Bioinformatics, Molecular Basis of Cancer, Personalized Medicine, Didactics and Communication in Bioinformatics","Basic, Intermediate, Advanced"
06/11/2023 16:30:00,Yes,I am white,Man / Male (Cisgender),São Paulo (SP),Professor / PI,User,Academic,,,,1,5,7,5,4,4,6,"DNA and Genomics, Metagenomics and Microbiome, RNA and Transcriptomics, Epigenomics","Intermediate, Advanced"
